,flat_price,Комнат,Площадь,Жилая,Кухня,Этаж,Ремонт,Тип сделки,Лет в собственности,Год постройки,Материал стен,Серия дома,Количество этажей,Лифт,Количество квартир,latitude,longitude,Вид из окон,Тип перекрытий,Горячее водоснабжение,Количество собственников,Мусоропровод,Несовершеннолетние собственники,Прописанные несовершеннолетние,Количество балконов,Тип фундамента,Балкон,Количество лифтов,Грузовой лифт,Высота потолков,price_stats,Детская площадка,Перепланировка,Газ,Спортивная площадка,Год ввода в эксплуатацию,Количество подъездов,Наименьшее количество этажей,Предоплата,Залог,Класс энергоэффективности,Прописано,Коммунальные платежи,Холодное водоснабжение,Комнат в квартире,Площадь комнаты,Теплоснабжение,Санузел,Энергоснабжение
59,11 900 000,1,33,19,7,2,Евро,Альтернатива,Больше пяти,1968,Железобетон,II-01,9,есть,,55.680504,37.57678},,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,17 100 000,1,"45,1",,,3,Евро,Свободная продажа,,2022,Монолитный,,30,,,55.717472,37.769073,,Железобетонный,,,,нет,нет,,,,,,,,,нет,,,,,,,,,,,,,,,,
61,42 000 000,3,74,49,10,10,Отсутствует,Свободная продажа,,2021,Монолитный,,14,есть,,55.717452,37.497557,во,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,18 700 000,3,70,47,12,13,Косметический,Свободная продажа,Меньше трех,1964,Панельный,К-7,5,,119,55.878788,37.62811},,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,12 300 000,1,"38,2",,"8,6",12,,,,1980,Железобетон,П-44,16,есть,,55.642733,37.716324,,Железобетонный,,,есть,,,1,,,,,,,,,,,,,,,,,,,,,,,,
64,13 500 000,1,"39,7","23,2","10,4",20,Евро,Свободная продажа,Меньше трех,2022,Монолитный,,22,,,55.853597,37.514212,,Железобетонный,Центральное,,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,7 700 000,1,30,,9,10,,,,2016,Иные,01-пз индивидуальный проект,14,есть,,55.617098,37.264346,,Железобетонный,,,есть,,,1,,,,,,,,,,,,,,,,,,,,,,,,
66,15 500 000,2,"47,1",30,7,2,Дизайнерский,Свободная продажа,От трех до пяти,1951,Смешанные,01-пз индивидуальный проект,5,,,55.798591,37.791549,,Иное,,,,,,,Иной,,,,,,,,,,,,,,,,,,,,,,,
67,24 000 000,2,"57,1","37,3","7,5",2,косметический,Свободная продажа,,1963,Монолитный,01-пз индивидуальный проект,8,есть,,"55.77314,",7.578711},на,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,14 200 000,1,31,,10,14,,,,1972,Блочный,И-209а,14,есть,,55.790312,37.612865,,Железобетонный,,,есть,,,1,,,2,,,,,,есть,,,,,,,,,,,,,,,
69,24 000 000,1,38,"13,9","12,1",13,Требует ремонта,Свободная продажа,,2022,Смешанные,1-511,5,,,55.773662,37.474336,,Железобетонный,Закрытая с приготовлением горячей воды на ЦТП,,,,,,,нет,,,,,,,,,,,,,,,,,,,,,,
70,9 500 000,1,38,20,"8,5",12,Косметический,Свободная продажа,Меньше трех,2005,Панельный,П-44Т,14,есть,,55.590938,37.613233,,Железобетонный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,11 999 000,1,39,18,10,8,,Свободная продажа,,2015,Монолитный,"14/14, индивидуальный",14,есть,,55.809995,37.80612},,Железобетонный,,,,,,,,нет,1,,,,,,,,,,,,,,,,,,,,,
72,123 000 000,4,185,,10,11,Дизайнерский,Свободная продажа,,2011,Монолитный,II-14,18,есть,,55.689563,37.56194},,Железобетонный,,,,,,,,нет,,,3.1,,,,,,,,,,,,,,,,,,,
